brand,model,year,fuel,transmission,owner,km_driven,mileage_num,engine_num,max_power_num,price_lakh
Hyundai,i20 1.2,2018,Petrol,Manual,First Owner,2388,18.6,1197.0,81.83,7.3
Maruti,Vitara Brezza,2017,Diesel,Manual,First Owner,16200,24.3,1248.0,88.5,6.5
Maruti,Alto 800,2019,CNG,Manual,Second Owner,10000,33.44,796.0,40.3,3.3
Maruti,Alto K10,2019,Petrol,Manual,First Owner,15000,23.95,998.0,67.1,3.66
Hyundai,Verna VTVT,2019,Petrol,Manual,First Owner,5000,17.0,1591.0,121.3,11.49
Datsun,GO D,2016,Petrol,Manual,First Owner,42000,20.63,1198.0,67.0,1.5
Tata,Safari DICOR,2011,Diesel,Manual,Second Owner,60000,13.93,2179.0,138.03,4.25
Maruti,800 Std,2012,Petrol,Manual,First Owner,76000,16.1,796.0,37.0,1.5
Jeep,Compass 1.4,2019,Petrol,Automatic,First Owner,5000,16.0,1368.0,160.77,21.0
Honda,City i,2018,Petrol,Manual,First Owner,28900,17.8,1497.0,117.3,9.25
Honda,City V,2013,Petrol,Manual,First Owner,86300,16.8,1497.0,116.3,4.25
Maruti,Swift Dzire,2018,Petrol,Automatic,First Owner,23300,18.5,1197.0,83.14,6.75
Maruti,Vitara Brezza,2018,Diesel,Manual,First Owner,32600,24.3,1248.0,88.5,8.2
Maruti,Alto K10,2018,Petrol,Manual,First Owner,10300,23.95,998.0,67.05,3.9
Toyota,Fortuner 4x4,2014,Diesel,Manual,First Owner,77000,12.55,2982.0,168.5,15.0
Toyota,Innova 2.5,2013,Diesel,Manual,First Owner,99000,12.99,2494.0,100.0,7.0
Mercedes-Benz,B Class,2014,Diesel,Automatic,Second Owner,27800,14.8,2143.0,120.7,14.5
Honda,Amaze S,2015,Diesel,Manual,First Owner,49800,24.7,1498.0,98.63,4.25
Mitsubishi,Pajero Sport,2013,Diesel,Manual,First Owner,151000,13.5,2477.0,175.56,10.9
Honda,City i,2015,Diesel,Manual,First Owner,54700,26.0,1498.0,98.6,6.0
Maruti,Ciaz Zeta,2018,Petrol,Manual,First Owner,64000,20.65,1462.0,103.25,8.5
Honda,Jazz VX,2015,Diesel,Manual,First Owner,63000,27.3,1498.0,98.6,5.25
Toyota,Innova Crysta,2016,Diesel,Automatic,Second Owner,127700,11.36,2755.0,171.5,16.5
Toyota,Innova 2.5,2016,Diesel,Manual,First Owner,99000,12.99,2494.0,100.6,9.5
Audi,A6 2.0,2013,Diesel,Automatic,Second Owner,33900,17.68,1968.0,174.33,17.5
Toyota,Corolla Altis,2018,Petrol,Automatic,First Owner,25000,14.28,1798.0,138.03,15.9
Audi,A6 2.0,2013,Diesel,Automatic,First Owner,50000,18.53,1968.0,187.74,16.9
Mercedes-Benz,New C-Class,2013,Diesel,Automatic,First Owner,59000,14.84,2143.0,170.0,14.25
Tata,Manza ELAN,2011,Diesel,Manual,First Owner,120000,21.12,1248.0,88.8,2.65
Hyundai,i10 Magna,2011,Petrol,Manual,Third Owner,110000,20.36,1197.0,78.9,1.9
Hyundai,i20 Asta,2013,Diesel,Manual,First Owner,60000,21.27,1396.0,88.76,4.25
Maruti,Swift Dzire,2015,Diesel,Manual,Second Owner,147000,26.59,1248.0,74.0,6.3
Ford,Figo 1.2P,2017,Petrol,Manual,Third Owner,25000,18.16,1196.0,86.8,6.0
Maruti,Baleno Delta,2019,Petrol,Manual,First Owner,30000,21.4,1197.0,83.1,6.5
Volkswagen,Ameo 1.5,2016,Diesel,Manual,First Owner,40000,22.0,1498.0,108.495,5.4
Honda,City i,2015,Diesel,Manual,First Owner,135000,25.1,1498.0,98.6,6.3
Maruti,Wagon R,2018,Petrol,Automatic,First Owner,30000,20.51,998.0,67.0,4.48
Volkswagen,Ameo 1.5,2017,Diesel,Manual,First Owner,80000,21.66,1498.0,108.62,5.0
Maruti,Vitara Brezza,2016,Diesel,Manual,First Owner,70000,24.3,1248.0,88.5,7.45
Maruti,Vitara Brezza,2019,Diesel,Automatic,First Owner,9850,24.3,1248.0,88.5,10.25
Hyundai,i10 Magna,2011,Petrol,Manual,Second Owner,60000,20.36,1197.0,78.9,2.35
Maruti,Swift VDI,2016,Diesel,Manual,First Owner,70000,25.2,1248.0,74.0,6.3
Toyota,Fortuner 4x4,2015,Diesel,Manual,Second Owner,78000,12.55,2982.0,168.5,17.0
Maruti,Swift Star,2013,Diesel,Manual,Second Owner,120000,22.9,1248.0,74.0,4.5
Maruti,Ertiga ZXI,2012,Petrol,Manual,Second Owner,120000,16.02,1373.0,93.7,4.5
Volkswagen,Vento Diesel,2013,Diesel,Manual,First Owner,170000,20.54,1598.0,103.6,4.5
Toyota,Innova 2.5,2016,Diesel,Manual,First Owner,140000,12.99,2494.0,100.6,12.0
Ford,EcoSport 1.5,2015,Diesel,Manual,First Owner,90000,22.77,1498.0,98.59,6.1
BMW,X1 sDrive20i,2016,Petrol,Automatic,Second Owner,30000,15.71,1998.0,189.0,25.0
Maruti,Celerio ZXI,2017,Petrol,Manual,First Owner,10000,23.1,998.0,67.04,4.85
Datsun,GO A,2016,Petrol,Manual,First Owner,49000,19.02,1198.0,67.05,2.75
Maruti,Alto 800,2016,Petrol,Manual,First Owner,32000,24.7,796.0,47.3,3.15
Maruti,Alto 800,2016,Petrol,Manual,First Owner,38000,24.7,796.0,47.3,2.75
Hyundai,i10 Era,2012,Petrol,Manual,First Owner,28000,19.81,1086.0,68.05,2.9
Maruti,Omni 8,2017,Petrol,Manual,First Owner,32000,14.0,796.0,35.0,2.8
Maruti,Wagon R,2010,LPG,Manual,First Owner,44000,26.2,998.0,58.2,2.25
Volkswagen,Polo 1.2,2015,Petrol,Manual,First Owner,42000,16.47,1198.0,74.0,4.55
Hyundai,i10 Magna,2015,Petrol,Manual,Second Owner,45000,19.81,1086.0,68.05,3.51
Volkswagen,Vento Petrol,2012,Petrol,Manual,Second Owner,12000,15.04,1598.0,103.6,5.35
Maruti,Zen Estilo,2009,Petrol,Manual,First Owner,55500,18.2,998.0,67.1,1.75
Hyundai,i20 Asta,2013,Petrol,Manual,First Owner,61500,18.5,1197.0,82.85,5.25
Maruti,Swift Dzire,2016,Diesel,Manual,First Owner,150000,26.59,1248.0,74.0,6.0
Hyundai,Xcent 1.2,2016,Petrol,Automatic,First Owner,72000,19.1,1197.0,82.0,5.65
Maruti,Alto LX,2008,Petrol,Manual,Third Owner,68000,19.7,796.0,46.3,1.2
Hyundai,i20 1.4,2017,Diesel,Manual,First Owner,110000,22.54,1396.0,88.73,7.25
Maruti,Wagon R,2009,Petrol,Manual,Second Owner,77000,21.79,998.0,67.05,1.85
Tata,Manza Aura,2010,Diesel,Manual,Second Owner,100000,18.8,1248.0,90.0,2.0
Maruti,Swift VXI,2019,Petrol,Manual,First Owner,10000,21.21,1197.0,81.8,6.15
Maruti,Eeco 7,2016,Petrol,Manual,Third Owner,100000,15.37,1196.0,73.0,2.7
Maruti,Baleno Zeta,2018,Petrol,Manual,First Owner,35000,21.4,1197.0,83.1,6.1
Mahindra,Scorpio VLX,2014,Diesel,Automatic,Second Owner,70000,11.79,2179.0,120.0,6.25
Ford,Freestyle Titanium,2020,Petrol,Manual,Second Owner,5000,19.0,1194.0,94.68,4.0
Hyundai,Verna VTVT,2017,Petrol,Manual,First Owner,37800,17.0,1591.0,121.3,8.66
Volkswagen,Passat 1.8,2010,Petrol,Manual,First Owner,114000,14.3,1798.0,160.0,7.0
Tata,Indica Vista,2010,Petrol,Manual,First Owner,48000,15.8,1172.0,65.0,3.0
Mahindra,XUV500 W11,2019,Diesel,Manual,First Owner,32000,15.1,2179.0,155.0,17.0
Tata,Indigo CS,2016,Diesel,Manual,First Owner,100000,19.09,1405.0,69.01,3.75
Hyundai,Verna 1.6,2013,Diesel,Manual,Second Owner,150000,22.32,1582.0,126.32,5.22
Hyundai,i20 Magna,2013,Diesel,Manual,First Owner,69000,21.9,1396.0,88.76,4.52
Toyota,Corolla Altis,2009,Petrol,Manual,Second Owner,100000,14.53,1798.0,138.1,3.0
Maruti,Celerio VXI,2020,Petrol,Manual,First Owner,13000,21.63,998.0,67.04,4.75
Maruti,Vitara Brezza,2016,Diesel,Manual,First Owner,60000,24.3,1248.0,88.5,7.8
Maruti,Swift Dzire,2017,Petrol,Manual,First Owner,40000,20.85,1197.0,83.14,5.95
Maruti,Wagon R,2017,Petrol,Manual,First Owner,35000,20.51,998.0,67.04,4.4
Nissan,Terrano XL,2014,Diesel,Manual,Third Owner,70000,20.45,1461.0,83.8,4.0
Hyundai,Creta 1.6,2016,Diesel,Manual,First Owner,50000,19.67,1582.0,126.2,11.4
Ford,EcoSport 1.5,2017,Diesel,Manual,First Owner,76139,23.0,1498.0,98.96,8.5
Maruti,Swift Dzire,2012,Diesel,Manual,Fourth & Above Owner,175000,19.3,1248.0,73.9,3.7
Renault,KWID 1.0,2018,Petrol,Manual,First Owner,25000,23.01,999.0,67.0,3.5
Maruti,Celerio VXI,2015,Petrol,Manual,Second Owner,40000,23.1,998.0,67.04,3.6
Maruti,Alto LXi,2008,Petrol,Manual,Fourth & Above Owner,65000,19.7,796.0,46.3,1.05
Maruti,Ertiga VDI,2013,Diesel,Manual,Second Owner,90000,20.77,1248.0,88.76,6.25
Hyundai,Santro Xing,2009,Petrol,Manual,Second Owner,80000,17.92,1086.0,62.1,1.35
Maruti,Ertiga VDI,2015,Diesel,Manual,Second Owner,110000,20.77,1248.0,88.76,7.0
Honda,Amaze S,2019,Petrol,Manual,First Owner,1303,17.8,1198.0,86.7,6.9
Audi,Q5 35TDI,2018,Diesel,Automatic,First Owner,31800,17.01,1968.0,188.0,39.75
Lexus,ES 300h,2019,Petrol,Automatic,First Owner,20000,22.37,2487.0,214.56,51.5
Jaguar,XF 2.0,2017,Diesel,Automatic,First Owner,45000,19.33,1999.0,177.0,32.0
Jeep,Wrangler 2016-2019,2017,Petrol,Automatic,First Owner,17000,9.5,3604.0,280.0,41.0
Land,Rover Discovery,2019,Diesel,Automatic,First Owner,21000,12.83,1999.0,148.31,45.0
Mercedes-Benz,S-Class S,2017,Diesel,Automatic,First Owner,37000,13.5,2987.0,254.79,60.0
BMW,5 Series,2018,Diesel,Automatic,First Owner,29500,22.48,1995.0,187.74,37.9
BMW,X4 M,2019,Diesel,Automatic,First Owner,7500,16.78,1995.0,190.0,58.0
Skoda,Superb LK,2018,Petrol,Automatic,First Owner,50000,14.67,1798.0,177.46,18.65
Mercedes-Benz,E-Class E250,2016,Diesel,Automatic,First Owner,35000,15.0,2143.0,204.0,27.0
MG,Hector Sharp,2019,Petrol,Automatic,First Owner,19000,13.96,1451.0,141.0,17.5
Honda,City i-VTEC,2017,Petrol,Automatic,First Owner,41000,18.0,1497.0,117.6,7.95
Toyota,Corolla Altis,2013,Petrol,Automatic,First Owner,39000,14.28,1798.0,138.03,6.25
Volvo,XC40 D4,2018,Diesel,Automatic,First Owner,22000,18.0,1969.0,190.0,34.0
Audi,Q7 35,2015,Diesel,Automatic,First Owner,53000,12.07,2967.0,241.4,26.5
Maruti,Ciaz ZDi,2015,Diesel,Manual,First Owner,40000,26.21,1248.0,88.5,5.35
Mercedes-Benz,S-Class S,2017,Diesel,Automatic,First Owner,47000,13.5,2987.0,282.0,58.5
BMW,5 Series,2010,Petrol,Automatic,Second Owner,72200,10.8,2497.0,150.0,9.75
Hyundai,Elantra S,2016,Petrol,Manual,First Owner,49900,16.3,1797.0,147.5,8.05
Jaguar,XE 2016-2019,2017,Diesel,Automatic,First Owner,9000,13.6,1999.0,177.0,26.25
Tata,Nexon 1.2,2018,Petrol,Manual,First Owner,11000,17.0,1198.0,108.5,8.11
Volkswagen,Vento Petrol,2011,Petrol,Manual,First Owner,49000,15.04,1598.0,103.6,3.75
Hyundai,Elantra SX,2012,Petrol,Manual,First Owner,95000,16.3,1797.0,147.5,5.5
Skoda,Rapid 1.6,2016,Petrol,Automatic,First Owner,11000,14.3,1598.0,103.5,6.45
Mercedes-Benz,CLA 200,2018,Petrol,Automatic,First Owner,18000,15.04,1991.0,183.0,25.5
Maruti,Ertiga ZXI,2014,Petrol,Manual,First Owner,46100,16.02,1373.0,93.7,5.99
Mercedes-Benz,New C-Class,2017,Petrol,Automatic,First Owner,16000,14.74,1991.0,181.04,27.0
Honda,City V,2017,Petrol,Automatic,First Owner,18000,15.6,1497.0,116.3,8.75
Toyota,Glanza V,2019,Petrol,Automatic,First Owner,9654,19.56,1197.0,81.8,8.95
Maruti,Alto K10,2011,Petrol,Manual,First Owner,11000,23.95,998.0,67.05,1.75
Maruti,Swift VXI,2012,Petrol,Manual,First Owner,24300,21.21,1197.0,81.8,3.4
Toyota,Innova Crysta,2016,Diesel,Automatic,Second Owner,42163,11.36,2755.0,171.5,15.25
Tata,Nexon 1.5,2018,Diesel,Automatic,First Owner,8000,21.5,1497.0,108.5,10.25
BMW,3 Series,2016,Diesel,Automatic,First Owner,30000,22.69,1995.0,190.0,21.5
Toyota,Camry 2.5,2016,Petrol,Automatic,First Owner,41000,19.16,2494.0,157.7,19.0
BMW,5 Series,2016,Diesel,Automatic,First Owner,12000,18.12,1995.0,190.0,29.0
Toyota,Camry W4,2009,Petrol,Automatic,First Owner,71000,12.1,2362.0,164.7,4.5
Maruti,Ertiga BSIV,2016,Petrol,Manual,First Owner,20000,17.5,1373.0,91.1,8.5
Volkswagen,Vento Diesel,2011,Diesel,Manual,Second Owner,100000,20.54,1598.0,103.6,3.0
Ford,Figo Aspire,2018,Petrol,Manual,First Owner,9500,18.16,1196.0,86.8,5.75
Ford,Figo Diesel,2011,Diesel,Manual,First Owner,120000,20.0,1399.0,68.0,1.6
Maruti,Swift VXI,2015,Petrol,Manual,First Owner,36600,20.4,1197.0,81.8,5.15
Maruti,Wagon R,2015,Petrol,Automatic,Second Owner,50000,20.51,998.0,67.0,3.9
Hyundai,i20 Magna,2016,Petrol,Manual,Second Owner,14000,18.6,1197.0,81.83,5.5
Maruti,800 Std,1999,Petrol,Manual,Second Owner,40000,16.1,796.0,37.0,0.4
Maruti,Ritz VDi,2010,Diesel,Manual,First Owner,120000,21.1,1248.0,73.9,2.2
Hyundai,Grand i10,2015,Petrol,Manual,First Owner,70000,18.9,1197.0,82.0,4.25
Volkswagen,Ameo 1.0,2019,Petrol,Manual,First Owner,13000,19.44,999.0,75.0,4.8
Hyundai,Grand i10,2014,Petrol,Manual,Second Owner,60000,18.9,1197.0,82.0,4.0
Maruti,Swift Dzire,2014,Petrol,Manual,First Owner,35000,19.1,1197.0,85.8,4.87
Hyundai,Xcent 1.2,2016,Petrol,Manual,Second Owner,44000,19.1,1197.0,82.0,3.86
Honda,City 1.5,2005,Petrol,Manual,Second Owner,120000,13.0,1493.0,100.0,1.0
Toyota,Corolla Altis,2010,Diesel,Manual,First Owner,60000,21.43,1364.0,87.2,3.0
Daewoo,Matiz SD,2000,Petrol,Manual,First Owner,60000,18.5,796.0,53.0,1.0
Toyota,Fortuner 4x2,2014,Diesel,Manual,Second Owner,30000,13.0,2982.0,168.5,17.5
Mahindra,KUV 100,2016,Petrol,Manual,Second Owner,15000,18.15,1198.0,82.0,4.5
Tata,Zest Quadrajet,2017,Diesel,Manual,First Owner,90000,22.95,1248.0,74.0,4.9
Honda,City 1.5,2009,Petrol,Manual,Second Owner,47000,17.0,1497.0,118.0,3.45
Maruti,Zen LXI,2005,Petrol,Manual,First Owner,90000,17.3,993.0,60.0,0.85
Maruti,Wagon R,2010,Petrol,Manual,Second Owner,120600,18.9,998.0,67.1,2.15
Hyundai,Verna Transform,2010,Petrol,Manual,Third Owner,100000,16.2,1599.0,103.2,3.2
Maruti,Swift Dzire,2016,Petrol,Manual,Second Owner,60000,20.85,1197.0,83.14,4.6
Hyundai,Getz GLS,2005,Petrol,Manual,First Owner,86000,15.3,1341.0,83.0,0.65
Hyundai,Elite i20,2020,Petrol,Manual,First Owner,5000,18.6,1197.0,81.86,7.2
Maruti,Ciaz 1.3,2017,Diesel,Manual,First Owner,37000,28.09,1248.0,88.5,8.0
Tata,Tigor 1.2,2019,Petrol,Manual,First Owner,14000,20.3,1199.0,84.0,5.2
Maruti,Ertiga VDI,2015,Diesel,Manual,First Owner,70000,20.77,1248.0,88.76,5.8
Honda,City i,2015,Petrol,Manual,First Owner,50000,17.4,1497.0,117.3,6.0
Honda,Brio S,2014,Petrol,Manual,Second Owner,60000,19.4,1198.0,86.8,2.9
Maruti,Wagon R,2016,CNG,Manual,First Owner,50000,26.6,998.0,58.16,3.6
Maruti,Swift Dzire,2017,Petrol,Manual,First Owner,50000,20.85,1197.0,83.14,5.5
Hyundai,i20 Sportz,2013,Petrol,Manual,First Owner,70000,18.5,1197.0,82.85,3.75
Maruti,Wagon R,2018,Petrol,Automatic,First Owner,35000,20.51,998.0,67.0,4.2
Maruti,Swift Dzire,2017,Petrol,Manual,First Owner,20000,21.21,1197.0,81.8,5.5
Maruti,Alto 800,2018,Petrol,Manual,First Owner,20000,24.7,796.0,47.3,2.7
Maruti,Swift Dzire,2018,Petrol,Automatic,First Owner,7800,22.0,1197.0,81.8,7.0
Maruti,Swift VXI,2017,Petrol,Manual,First Owner,20000,20.4,1197.0,81.8,5.0
Tata,Hexa XE,2019,Diesel,Manual,First Owner,15000,17.6,2179.0,147.94,12.5
Hyundai,i20 Magna,2013,Petrol,Manual,Second Owner,31377,18.5,1197.0,82.85,3.2
Maruti,Swift Dzire,2018,Diesel,Manual,First Owner,50000,28.4,1248.0,74.02,7.0
Maruti,Wagon R,2015,Petrol,Manual,First Owner,60000,20.51,998.0,67.04,2.9
Toyota,Corolla Altis,2012,Petrol,Automatic,First Owner,100000,14.53,1794.0,138.1,5.5
Honda,Brio S,2012,Petrol,Manual,First Owner,60000,19.4,1198.0,86.8,2.65
Maruti,Baleno Alpha,2018,Petrol,Automatic,First Owner,5000,21.4,1197.0,83.1,8.3
Tata,Safari Storme,2017,Diesel,Manual,First Owner,60000,14.1,2179.0,147.94,8.0
Maruti,Alto LXi,2011,Petrol,Manual,Second Owner,25000,19.7,796.0,46.3,1.6
Renault,KWID RXT,2018,Petrol,Manual,First Owner,30000,25.17,799.0,53.3,3.35
Datsun,GO T,2017,Petrol,Manual,Second Owner,80000,20.63,1198.0,67.0,3.29
Maruti,Vitara Brezza,2017,Diesel,Manual,First Owner,75000,24.3,1248.0,88.5,7.75
Hyundai,Xcent 1.2,2020,Petrol,Manual,First Owner,32000,20.14,1197.0,81.86,5.24
Maruti,Alto 800,2015,Petrol,Manual,First Owner,40000,22.74,796.0,47.3,2.45
Hyundai,i20 1.2,2012,Petrol,Manual,Second Owner,93000,17.0,1197.0,80.0,2.75
Tata,Zest Revotron,2018,Petrol,Manual,First Owner,60000,17.57,1193.0,88.7,5.2
Nissan,Sunny XL,2014,Petrol,Manual,First Owner,37000,16.95,1498.0,97.7,5.5
Ford,EcoSport 1.5,2018,Petrol,Manual,First Owner,15000,17.0,1497.0,121.36,9.1
Nissan,Micra Active,2015,Petrol,Manual,First Owner,80000,19.49,1198.0,67.04,3.0
Maruti,Wagon R,2016,Petrol,Manual,First Owner,140000,20.51,998.0,67.04,3.5
Mahindra,Ssangyong Rexton,2013,Diesel,Manual,First Owner,70000,12.83,2696.0,162.0,9.0
Mahindra,Quanto C8,2013,Diesel,Manual,Second Owner,120000,17.21,1493.0,100.0,3.0
Maruti,Ritz LDi,2010,Diesel,Manual,Second Owner,110000,21.1,1248.0,73.9,2.5
Hyundai,Creta 1.6,2017,Diesel,Manual,First Owner,37000,19.67,1582.0,126.2,11.0
Renault,KWID RXT,2016,Petrol,Manual,First Owner,44000,25.17,799.0,53.3,2.7
Maruti,Ertiga VDI,2015,Diesel,Manual,First Owner,80000,20.77,1248.0,88.76,6.4
Mahindra,XUV500 W4,2015,Diesel,Manual,First Owner,125000,15.1,2179.0,140.0,6.5
Maruti,Eeco 5,2017,Petrol,Manual,First Owner,13500,15.37,1196.0,73.0,4.1
Hyundai,Santro Xing,2011,Petrol,Manual,First Owner,75000,17.92,1086.0,62.1,1.65
Hyundai,Accent GLE,2007,Petrol,Manual,Second Owner,120000,13.2,1495.0,94.0,0.8
Mahindra,XUV500 W8,2012,Diesel,Manual,First Owner,120000,15.1,2179.0,140.0,5.35
Toyota,Innova 2.5,2013,Diesel,Manual,First Owner,70000,12.99,2494.0,100.57,7.0
Maruti,Swift Dzire,2013,Diesel,Manual,First Owner,70000,23.4,1248.0,74.0,5.5
Honda,Amaze S,2019,Petrol,Automatic,First Owner,15000,19.0,1199.0,88.76,6.8
Hyundai,i10 Sportz,2009,Petrol,Manual,Second Owner,53000,20.36,1197.0,78.9,2.0
Maruti,Swift Dzire,2014,Diesel,Manual,Second Owner,120000,23.4,1248.0,74.0,5.0
Maruti,Ertiga SHVS,2016,Diesel,Manual,First Owner,70000,24.52,1248.0,88.5,10.0
Hyundai,Getz 1.3,2008,Petrol,Manual,Second Owner,120000,14.2,1341.0,82.9,1.1
Hyundai,i20 1.2,2012,Petrol,Manual,Second Owner,100000,18.5,1197.0,80.0,3.2
Maruti,Swift LXI,2015,Petrol,Manual,First Owner,100000,20.4,1197.0,83.11,3.5
Tata,Indica Vista,2013,Diesel,Manual,First Owner,162500,19.4,1405.0,70.0,1.7
Hyundai,i20 2015-2017,2017,Diesel,Manual,First Owner,39000,22.54,1396.0,88.73,8.0
Maruti,Ignis 1.3,2017,Diesel,Manual,First Owner,75000,26.8,1248.0,74.0,5.0
Tata,Hexa XTA,2017,Diesel,Automatic,First Owner,50000,17.6,2179.0,153.86,13.8
Mahindra,Marazzo M6,2019,Diesel,Manual,First Owner,40000,17.3,1497.0,121.0,13.0
Hyundai,Verna 1.6,2013,Diesel,Manual,First Owner,92500,22.32,1582.0,126.3,5.3
Maruti,Swift Dzire,2012,Diesel,Manual,First Owner,158000,23.4,1248.0,74.0,3.6
Maruti,Swift Dzire,2012,Diesel,Manual,First Owner,120000,19.3,1248.0,73.9,3.1
Honda,City i,2015,Diesel,Manual,Second Owner,50000,26.0,1498.0,98.6,7.25
Maruti,Swift Dzire,2012,Diesel,Manual,First Owner,110000,19.3,1248.0,73.9,3.4
Hyundai,Xcent 1.2,2017,Diesel,Manual,Second Owner,2000,25.4,1186.0,73.97,5.5
Toyota,Fortuner 3.0,2011,Diesel,Manual,Second Owner,181000,11.5,2982.0,171.0,11.5
Tata,Tiago 1.05,2016,Diesel,Manual,First Owner,70000,27.28,1047.0,69.0,3.8
Nissan,Sunny XL,2013,Petrol,Automatic,Second Owner,90000,17.97,1498.0,99.6,3.5
Hyundai,Elite i20,2019,Petrol,Manual,First Owner,2000,18.6,1197.0,81.86,6.1
Maruti,Swift Dzire,2015,Petrol,Manual,First Owner,20000,20.85,1197.0,83.14,5.25
Toyota,Innova 2.5,2011,Diesel,Manual,First Owner,120000,12.8,2494.0,102.0,4.8
Mahindra,Thar CRDe,2017,Diesel,Manual,First Owner,35000,16.55,2498.0,105.0,7.8
Maruti,Swift Dzire,2012,Diesel,Manual,First Owner,193000,19.3,1248.0,73.9,3.2
Maruti,Swift 1.2,2014,Petrol,Manual,First Owner,80000,20.4,1197.0,81.8,3.75
Datsun,GO D,2019,Petrol,Manual,First Owner,40000,19.02,1198.0,67.05,3.0
Hyundai,i20 Asta,2015,Diesel,Manual,Fourth & Above Owner,70000,22.54,1396.0,88.73,5.0
Mahindra,Scorpio LX,2011,Diesel,Manual,First Owner,122358,12.05,2179.0,120.0,4.04
Tata,Sumo Gold,2015,Diesel,Manual,First Owner,75000,14.07,2956.0,69.01,5.0
Tata,Tiago Wizz,2017,Diesel,Manual,First Owner,120000,27.28,1047.0,69.0,3.5
Tata,Zest Revotron,2015,Petrol,Manual,First Owner,40000,17.57,1193.0,88.7,3.8
Hyundai,Accent GLE,2008,Petrol,Manual,Third Owner,95200,13.2,1495.0,94.0,1.15
Honda,Brio Exclusive,2014,Petrol,Manual,First Owner,33033,19.4,1198.0,86.8,3.35
Hyundai,Grand i10,2015,Petrol,Automatic,First Owner,63063,18.9,1197.0,82.0,4.65
Tata,Manza Club,2012,Diesel,Manual,First Owner,60000,21.02,1248.0,88.76,2.9
Maruti,Alto LX,2005,Petrol,Manual,Second Owner,45000,19.7,796.0,46.3,1.1
Tata,New Safari,2011,Diesel,Manual,Third Owner,80000,11.57,2179.0,138.1,4.5
Mahindra,Bolero SLE,2009,Diesel,Manual,Second Owner,170000,13.6,2523.0,63.0,4.0
Mahindra,Bolero DI,2007,Diesel,Manual,Second Owner,207890,13.6,2523.0,63.0,2.1
Mercedes-Benz,GL-Class 220d,2018,Diesel,Automatic,First Owner,7976,17.9,2143.0,170.0,46.0
